adj_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely,nones,nothings,nobodies,nobody's,nobodys,non-exalts,nothingis,nys
familiar,208,38,39,53,25,7,15,14,10,2,1,0,4,0,0,0,0,0,0,0,0
enthusiastic,205,103,2,28,16,19,11,14,8,2,0,1,1,0,0,0,0,0,0,0,0
sophisticated,203,27,113,14,21,11,6,1,5,1,4,0,0,0,0,0,0,0,0,0,0
noteworthy,203,6,135,45,4,3,3,0,2,2,1,1,1,0,0,0,0,0,0,0,0
depressing,203,10,176,7,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
viable,202,60,4,29,18,67,10,0,3,5,5,1,0,0,0,0,0,0,0,0,0
sacred,201,7,182,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sick,200,129,4,17,4,1,3,7,22,11,0,1,1,0,0,0,0,0,0,0,0
fascinating,200,40,92,47,2,13,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0
easier,199,134,19,6,7,9,4,0,15,2,2,0,1,0,0,0,0,0,0,0,0
predictable,197,89,71,8,13,6,3,0,5,1,0,0,1,0,0,0,0,0,0,0,0
capable,197,43,12,52,37,8,15,16,4,1,5,0,4,0,0,0,0,0,0,0,0
dead,196,93,47,12,17,13,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0
ill,196,81,3,54,22,6,11,6,5,6,1,1,0,0,0,0,0,0,0,0,0
practical,196,25,114,23,12,6,5,0,7,3,0,1,0,0,0,0,0,0,0,0,0
desirable,196,19,52,16,65,10,21,0,7,3,0,2,1,0,0,0,0,0,0,0,0
strenuous,196,5,170,9,3,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
loud,193,101,46,13,9,7,7,1,1,5,2,0,1,0,0,0,0,0,0,0,0
thin,193,86,2,7,80,4,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0
angry,193,141,3,9,7,4,4,10,5,8,0,2,0,0,0,0,0,0,0,0,0
political,191,58,74,6,19,4,5,0,3,16,0,6,0,0,0,0,0,0,0,0,0
quick,190,100,21,18,11,6,17,6,1,8,0,2,0,0,0,0,0,0,0,0,0
tight,189,80,28,5,55,3,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0
pleasing,189,14,129,21,12,0,3,0,5,3,0,2,0,0,0,0,0,0,0,0,0
glamorous,188,43,102,17,9,6,1,0,7,2,0,0,1,0,0,0,0,0,0,0,0
subtle,188,34,44,60,15,9,9,1,9,2,1,1,3,0,0,0,0,0,0,0,0
warm,188,82,24,15,31,3,10,1,4,8,4,4,2,0,0,0,0,0,0,0,0
involved,187,94,24,12,24,9,6,8,2,7,1,0,0,0,0,0,0,0,0,0,0
satisfactory,187,53,26,75,7,3,16,0,4,2,0,0,1,0,0,0,0,0,0,0,0
notable,187,8,99,59,5,2,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0
sad,187,53,88,10,12,3,3,13,1,3,0,1,0,0,0,0,0,0,0,0,0
welcome,186,57,53,22,15,23,4,0,9,3,0,0,0,0,0,0,0,0,0,0,0
exhilarating,186,8,168,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
similar,184,13,102,17,35,4,3,0,8,1,0,1,0,0,0,0,0,0,0,0,0
extraordinary,184,4,149,16,7,3,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0
private,183,51,104,3,12,4,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0
fundamental,181,7,145,20,1,4,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
awful,180,13,122,23,8,2,5,2,1,3,0,1,0,0,0,0,0,0,0,0,0
noticeable,178,22,62,24,5,2,2,0,28,4,28,1,0,0,0,0,0,0,0,0,0
harmful,178,5,108,24,4,26,1,1,1,5,1,1,1,0,0,0,0,0,0,0,0
stable,178,94,24,20,11,7,3,0,9,6,4,0,0,0,0,0,0,0,0,0,0
pure,176,54,65,22,10,2,4,3,10,4,0,2,0,0,0,0,0,0,0,0,0
dry,176,67,11,12,55,6,8,0,5,7,2,1,2,0,0,0,0,0,0,0,0
revolutionary,175,5,120,36,4,2,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0
clever,174,50,50,34,17,4,8,5,0,6,0,0,0,0,0,0,0,0,0,0,0
absurd,172,9,130,12,1,7,1,2,4,0,1,1,4,0,0,0,0,0,0,0,0
tough,172,63,35,30,13,6,16,4,1,4,0,0,0,0,0,0,0,0,0,0,0
threatening,171,21,107,16,4,15,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0
apt,171,101,28,14,3,2,2,1,10,5,0,5,0,0,0,0,0,0,0,0,0
passionate,170,67,13,23,9,19,4,27,4,2,0,1,1,0,0,0,0,0,0,0,0
innovative,170,15,109,20,14,3,4,0,3,1,0,1,0,0,0,0,0,0,0,0,0
awesome,170,35,91,28,0,11,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
worthy,169,26,47,49,16,8,3,9,4,1,5,0,1,0,0,0,0,0,0,0,0
fair,169,43,37,26,30,9,12,0,7,3,1,0,1,0,0,0,0,0,0,0,0
destructive,166,7,110,19,6,9,1,1,4,3,1,2,3,0,0,0,0,0,0,0,0
influential,165,51,31,53,8,5,1,4,6,2,1,1,2,0,0,0,0,0,0,0,0
distracting,165,13,126,15,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disturbing,164,12,111,26,3,7,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
weird,164,17,111,18,5,7,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
flashy,164,31,113,9,3,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0
