prev_form_lower,SUM,not,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,aint
data,18,14,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
film,18,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
mentally,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movie,17,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
parents,17,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
company,17,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
linux,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
literally,17,14,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
solely,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deal,17,15,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
technology,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incredibly,17,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
price,17,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
nature,17,8,0,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0
house,17,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
recipe,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anyway,17,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
market,17,11,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
media,17,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
case,17,14,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
nothings,16,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
other,16,5,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0
